esfera;modalidade;autoria;tipo_de_instrumento_juridico;numero_da_emenda;ano_da_emenda;codigo_siafi;codigo_sigcon_entrada;valor_indicado;valor_repassado;formula;objeto;funcao_de_governo;orgao_executor;link
FEDERAL;Emenda de Relator;RELATOR GERAL;Portaria;81000792;2021;9287341;1437/2021;5664000,0;5664000,0;5664000,0;recursos destinados ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde;SAUDE;FUNDO ESTADUAL DE SAÚDE;
FEDERAL;Emenda Individual;ANTÔNIO ANASTASIA;Transferência Especial;38100001;2021;9290319;TE - 202138100001 - SECULT;2000000,0;2000000,0;2000000,0;Transferência Especial para Revitalização e reforma da Biblioteca Pública Estadual de Belo Horizonte;CULTURA;SECRETARIA DE ESTADO DE CULTURA E TURISMO;https://drive.google.com/file/d/11BhA9lc9YOawshJo8BG_8--Yo4glt46N/view
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940009;2021;9290349;TE - 202129940009 - EMATER;2000000,0;2000000,0;2000000,0;Transferência Especial para aquisição de equipamentos e máquinas para estruturação de armazém para rebeneficiamento de café no Município de Manhuaçu/MG, através da EMATER/MG.;AGRICULTURA;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1yOPi7LFnRLqHuJUXCiFfTjpLIdeEfpRH/view
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940004;2021;9290581;TE - 202129940004 - CBMMG;300000,0;300000,0;300000,0;Transferência Especial para aquisição de equipamentos de bombeiros e aquisição de equipamentos de informática.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/15IRxlXJ0OHXyJEuo6gPXw7bsDR_2GXNt/view
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940003;2021;9290582;TE - 202129940003 - CBMMG;1000000,0;1000000,0;1000000,0;Transferência Especial para aquisição de equipamentos de bombeiros e informática;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1tRFr_opdLEYKgV7SLllIPTCX9eM0pBNb/view
FEDERAL;Emenda Individual;STEFANO AGUIAR;Transferência Especial;29240001;2021;9290583;TE - 202129240001 - CBMMG;1180000,0;1180000,0;1180000,0;Transferência Especial para aquisição de viaturas Auto Bomba Tanque Salvamento para o 2° Pelotão da 2° CIA do 4° Batalhão de Bombeiros Militar do 3° Comando Operacional do Corpo de Bombeiros de Muriaé;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1HVkTLVyun_xd7DW3qhAS6AscEKij60g_/view
FEDERAL;Emenda de Relator;RELATOR GERAL;Portaria;81000792;2021;9291968;1530/2021;150000,0;150000,0;150000,0;Habilita o Estado, Município ou Distrito Federal a receber recursos  referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde;SAUDE;FUNDO ESTADUAL DE SAÚDE;
FEDERAL;Emenda Individual;MISAEL VARELLA;Transferência Especial;37310016;2021;9292026;TE - 202137310016 - PCMG;600000,0;600000,0;600000,0;Transferência Especial para Reforma e implantação da Delegacia de Atendimento à Mulher em Muriaé/MG;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1ewMKRuJm7phzyb3TM_eCJro9x_sYoc4l/view
FEDERAL;Emenda Individual;GREYCE ELIAS;Transferência Especial;41000007;2021;9292027;TE - 202141000007 - PCMG;250000,0;250000,0;250000,0;Reforma da nova unidade do plantão de atendimento da Delegacia de Polícia Civil de Patrocínio.;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1Ta1V6Vc-1DKSdO87FdfvCkVwSSePxhKa/view
FEDERAL;Emenda Individual;RODRIGO DE CASTRO;Transferência Especial;24880005;2021;9292804;TE - 202124880005 - PCMG;300000,0;300000,0;300000,0;	Transferência Especial para aquisição de viaturas (uma caracterizada e uma descaracterizada), computadores, aeronave remotamente pilotada (RPA - drone), impressoras multifuncionais, switch, Plotter, computadores e notebooks para a 5ª Delegacia Regional de Polícia Civil de Viçosa/MG.;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;https://drive.google.com/file/d/1U_qvVwG5sHIYDsIgG-CwZGd2dvTjj3Q-/view
